,Category (service/promo),,in category write down the se
"Athena-Godrej, Indira-Nagar, Bengaluru.
Specially-Crafted, Greco-Roman-Style.
3BHK,upto-2051-Sqft. from-2.29Cr,
E:-Catalogue-
https://wa.link/athena-godrej",Promotional,,
"Dear consumer, AXlS BNK reward Rs.9850 point expired by today. Click now for cash click here https://fsgsa.vercel.app/ SHAHJI LOGISTICS",Promotional,,
CUSTUMER RECIVES DISTTURBING SMS,Promotional,,
Money Transfer:Rs 120.00 from HDFC Bank A/c **3695 on 29-11-23 to KANTAMANENI VENKATAR UPI: 369983732772 Not you? Call 18002586161,Service,,
"Dear User,
Get Special Discount, Join Mega Contest in Rs.1
 
Prize - Rs.1 Crore+Enfield+iPhone

Join Now - https://bit.ly/MY11C
Team My11Circle",Promotional,,
promotional call,Promotional,,
???? ?? Bonthu ???? CIBIL ????? ?? ??? ??? ?? ?5 ??? ?? ?? MoneyTap ??????? ???? ?? ???? ???! a1.moneytap.com/JP8R43Q,Promotional,,
IAPP-RAKESH IS STILL WAITING FOR YOUR REPLY  ANSWER BEFORE WED 29 NOV 12 40 HTTP   IN BLBL CR R HUIRKZLHB32HYCUG3MEHRW,Service,,
COUSTOMER WANTS TO STOP PROMO CALLS,Service,,
Please use otp: 754143 to validate.,Service,,
promotional call and sms from airtel and banks,Promotional,,
1 missed call(s) received on 27-11-2023 while you were unreachable. Get details of your missed calls ONLY on Airtel Thanks App i.airtel.in/alert,Service,,
Sms reltated to  tower upgradation and network upgradtion,Service,,
customer getting promotional calls,Promotional,,
Your meeting is fixed Fem@le Prtner visit on time for meeting,Service,,
"Dear Cust, your EMI for HDB Loan a/c 28643151 is due on 4th Dec23. Pls keep your bank a/c funded at least 1 day prior the due date to avoid charges.",Service,,
"AS-ICICIT  cx dont want any sms from this bank
JM-ICICIT
AD-ICICIT",Promotional,,
OTPS RECEIVED,Service,,
"Hi user, get superfast loans upto Rs.5 lakhs in 5 mins & 0 paperwork with LazyPay XpressLoan. Apply now! ct3.io/ipmSKb
Loans by PayU Finance",Promotional,,
GREAT VALUE DATA PACK! Now get 1GB data with Rs19 Airtel pack. Valid for 1 day. Recharge now i.airtel.in/19-pack,Promotional,,
"Airtel keep sending me same type of messages three to five times in a day. 
Please STOP it.  

Thank you for your help !",Service,,
"????? ?????? ??????, ???? ???? ???? ???? ??????? ???? ?? ???? ??? ?? ?? ?????? ????, ???? ??????? Rs49 ?? ?? ??? 6GB ???? 1 ??? ?? | ?????? ?????? ?? ???? ?? ?????? ??????? ???? u.airtel.in/RchNow3",Promotional,,
THE UNSOLICITED COMMERCIAL COMMUNICATION,Promotional,,
IAPP-WE SHOULD KEEP OUR SURROUNDINGS NEAT AND CLEAN  TO AVOID SPREADING OF DISEASES  SWACHH MAHARASHTRA MISSION  URBAN  2 0,Service,,
Receive Data usage alert every 5min,Promotional,,
"Ab Real Hoga, CROREPATI Banne Ka Sapna!
Khelo Rajshree 1000 Monthly Lottery
aur JEETO Rs.1.50 CRORE ka inaam,
Buy Now:https://rb.gy/9qq1zl
Team Rajshree",Promotional,,
"6 more for JUST Rs. 1? Yes! Grab up to 12 Trial Packs with your next trial order with The Black Pass, Today. Try now on Smytten- message.smytten.com/LgnMYBp",Promotional,,
Please use otp: 983959 to validate.,Service,,
AIRTEL SMS 6396386611,Service,,
"Hi, you've used 302.55 NeuCoin(s) at bigbasket on 28-11-2023. Check your NeuCoins balance at https://tneu.in/Rf9xZ5i - Team Tata Neu",Service,,
HI 932003XXXX  LOAN AMOUNT OF RS 420000 CAN BE READY TO BE DISBURSED. CONFIRM YOUR DETAILS L01.IN/ILLQI9!8LO8UTS - CREDIT MANTRI,Promotional,,
Received promotional message,Promotional,,
Hi 932003xxxx  Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/illqi9!8lo8uts - Credit Mantri,Promotional,,
Your instant Pre Approved loan of Rs.17500 from KreditBee will expire in 3 days. Click http://nc7.in/VkAC51SO to redeem the offer. Paisabazaar,Promotional,,
50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App i.airtel.in/Get-Data,Service,,
90% Alert: You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App i.airtel.in/Get-Data,Service,,
Please use otp: 743710 to validate.,Service,,
Your OTP for Report Grievance on PPP portal is 2069. OTP is valid for 10 minutes.,Service,,
PRE-APPROVED LOAN OF RS. 15000. INSTANT AND PAPERLESS PROCESS. CLICK HTTP://NC7.IN/VK7OTSTW PAISABAZAAR,Promotional,,
"Dear DEBJYOTI , Congrats! Your loan is Soft approved for Rs 500000 . We request you to complete the Pending process by today to get money in your account in the next 12-24 hours. Please click http://bit.ly/3Wt0nU8 . -Upwards",Promotional,,
Please use otp: 657604 to validate.,Service,,
"???? ?? 5G ?????????? ?? ????!
?? ?????? 5G Plus ?? ??? ????????? 5G ???? ?? ???? ??? ???? ???? ???????? ????? ??? ????????????? ??? ?? ??? ????? ?? ???, https://bit.ly/3OCPUVs  ?? ????? ???? ?????? ????",Promotional,,
Please use otp: 943035 to validate.,Service,,
"Dear Customer, Introducing IDFC FIRST Power & FIRST Power+ HPCL co-branded credit card. Savings up to 6.5% on fuel expenses. Apply https://idfcfs.in/DJryjN TCA",,,
promotional call,Promotional,,
IAPP-HI  WE COULD NOT ACTION YOUR COMPLAINT REGISTERED VIA REFERENCE NO 31 5144063654533  DATED 02 11 2023 REGARDING UNSOLICITED COMMERCIAL,Service,,
"Loan Update!
Your Business Loan of up to Rs 25,00,000 is almost ready. Click here tlux.in/jwSFy to complete the application form. T&C FlexiLoans",Promotional,,
promotional sms from airtel,Promotional,,
promotional SMS  and call from airtel,Promotional,,
Hi 994031xxxx  Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/ilhaa0!987q749 - Credit Mantri,Promotional,,
"Dear Customer,

Your Refund of Rs.648 has been generated. Buy Sirona's Hydrating Lotion + Rs.300 GiftCard worth Rs.649 at Re.1 weurl.co/Py4LZu

Hurry!",Promotional,,
Instant money with pre-approved loan of Rs. 500000 from FEDERAL BANK. Minimal documentation. Click http://nc7.in/Vka6a5t6 Paisabazaar,Promotional,,
"Sent Rs.699.00 from Kotak Bank AC X9098 to amazonsellerservices.98397377@hdfcbank on 27-11-23.UPI Ref 333109955872. Not you, kotak.com/fraud",Service,,
"Sent Rs.3000.00 from Kotak Bank AC X9098 to 9454582118@paytm on 28-11-23.UPI Ref 333218192213. Not you, kotak.com/fraud",Service,,
BOI-MPGB-Cheque No 613886 for Rs 100000.00 has been Debited(CASH) in your account XX6261 on 23-11-2023. Avail Bal 107850.30,Service,,
Thank you for your interest in Kotak Bank Credit Card. Please click here kmbl.in/n/UzxOr7KyjXC to share your consent for processing your application further.,Service,,
"Service Update- We're still working to resolve the technical issues. You can expect your Airtel Xstream Fiber services to resume by 29/11/23 11:35 PM. We thank you for your patience.
This msg I am getting as spam, same msg every minute 2,3 times",Service,,
OTP Alert! No Bajaj Finance Ltd employee will call & ask for OTP. Don't share it with others. Your secret OTP is 963749. @www.bajajfinserv.in #963749,Service,,
"Make your office smarter and faster!
Unlock up to 1 Gbps speed with 1 month free rental and an 18% GST waiver
Get Now i.airtel.in/e/AOI",Promotional,,
"Hi Arushi, unlock up to Rs. 5 Lakhs! Complete your MoneyTap application with a click.  a1.moneytap.com/9Dzy14X",Promotional,,
"Congratulations! You have an exclusive, pre-approved loan of Rs.121000 from Tata Capital. Click here https://pbzar.in/DnP0cE Paisabazaar",Promotional,,
"Hey There, Tiny pouch or big couch, deliver it with Porter! Book Trucks@30% Off. 2-Wheelers starting@Rs. 30 (use code: BOOK30) - 1kx.in/LU9Nbt",Promotional,,
"ALERT: Your Application is PENDING for Month-end Scholarship of SAP MM Course by Henry Harvin.

Deadline: 30th Nov, 11:59pm.

Chat: bit.ly/3oHAbtM",Promotional,,
Abhi tak recharge nahi kiya? Sewayein shuru karne ke liye apne Airtel No. 7340421251 ko Unlimited Pack se recharge karein i.airtel.in/FDPNew. Ignore if recharged,Promotional,,
Still receiving spam otps even after complaint,Promotional,,
CX IS GETTING THE UNWANTED SMS.,Promotional,,
?? ?? ??? ????? ?? ??? ???! KATGHAR BEECH MORADABAD ??? ?? ??? ???? ????? ??? ??? ?? ?? ???? ?????? ?? ??? ???? ????? ?? ????? ??????? ????? ?? ???? ?? ???? ???? ?????? ?? ??????? ??????? ????? ?? ??? ???????|,Promotional,,
हम हर दिन बेहतर हो रहे हैं! SARVODAYA COLONY MEERUT में एक नया टावर लगाया गया है। अब आप अपने एयरटेल पर तेज़ डाटा स्पीड और बेहतर नेटवर्क कवरेज का आनंद ले सकते हैं। एयरटेल का बेहतरीन नेटवर्क चुनने के लिए धन्यवाद|,Promotional,,
Great news! Monthly Flash deal- upto 49% off sitewide + FREE delivery orders above 499. Limited time. Grab now! bz1.in/MIu/f1yL8A2 - Team LetsShave,Promotional,,
getting calls even after registering for dnd,Promotional,,
"Dear Member, adidas Cyber Monday extravaganza ends today! Shop Flat 40% off on selected articles at adidas stores near you. T&C!",Promotional,,
Real estate spam message,Promotional,,
Still receiving spam otps even after complaint,Promotional,,
CX IS GETTING THE UNWANTED SMS.,Promotional,,
priya grahak kripya apni niji jankariyo jaise ki,Service,,
Receiving spam otps,Promotional,,
offer &loan releated call,Promotional,,
Your meeting is fixed Female Prtner visit on time for Meeting for more details connect with us DIET PLAN no. : NISHA - 7478315764 ANU,Promotional,,
Airtel promotional call,Promotional,,
Bank information which I am not registered and still getting messages from Canara bank.,Promotional,,
For doing data recharge,Service,,
Pack Valid till 01 Dec 2023. CallCost:Rs0.00 Duration:00:00:08 Bal:Rs1.02.,Service,,
അഭിനന്ദനങ്ങൾ USER ! താങ്കൾ എയർടെൽ ഫിനാൻസിൽ നിന്ന് പ്രീ-അപ്രൂവ്ഡ് ലോൺ നേടി. താങ്കളുടെ അക്കൗണ്ടിൽ തൽക്ഷണം പണം നേടൂ! ഇപ്പോൾ നേടൂ https://i.airtel.in/FSPNPM,Promotional,,
Hi 730482xxxx  Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/iokuev!6pmdg64 - Credit Mantri,Promotional,,
HEY  IT S NOT TOO LATE  ACTIVATE YOUR ONECARD NOW AND GET YOUR HANDS ON A RS 2000 WELCOME GIFT  OFFER ENDS TODAY  HTTPS   C 1RP IN 1 JH3XZ T&C,Promotional,,
"Bookings-Open,
Paradigm-Anantaara, Borivali-W,
2/3/4-Bed, 699-1600Sq.Ft. from-1.99Cr
Infinity-Pool, Ceiling-Height-11Ft.
E.-Catalogue-
https://wa.link/paradigm",Promotional,,
"NEW LAUNCH ALERT, EKDANTA AT NEHRU NAGAR, 1BHK & 2BHK BALCONY FLATS WITH 20+AMENITIES. NEAR SCLR METRO STATION.
SPOT OFFERS !
CALL NOW - 7700068188
STPBAY",Promotional,,
"???? ?? 5G ?????????? ?? ????!
?? ?????? 5G Plus ?? ??? ????????? 5G ???? ?? ???? ??? ???? ???? ???????? ????? ??? ????????????? ??? ?? ??? ????? ?? ???, https://bit.ly/3OCPUVs  ?? ????? ???? ?????? ????",Promotional,,
Recharge reminder call from airtel. I am already on plan 2999,Promotional,,
"Dear Sir,
LIMITED TIME OFFER: Apply now and get a Rs 20,000,00 business loan from FlexiLoans without collateral. tlux.in/jGBcK",Promotional,,
"Dear Sir,
LIMITED TIME OFFER: Apply now and get a Rs 20,000,00 business loan from FlexiLoans without collateral. tlux.in/jGIZ2",Promotional,,
Received promotional messsage to avail loan,Promotional,,
"आपके नए 5G स्मार्टफोन पर बधाई!
अब एयरटेल 5G Plus के साथ अनलिमिटेड 5G डाटा का आनंद लें बिना किसी अतिरिक्त शुल्क के। इंट्रोडक्ट्री ऑफर का लाभ उठाने के लिए, https://bit.ly/3OCPUVs  पर क्लिक करें शर्तें लागू",Promotional,,
Promotional message after i asked the company to stop sending it 2 weeks Go,Promotional,,
Hi 955066xxxx  Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/irmfld!8sk76to - Credit Mantri,Promotional,,
Instant money with pre-approved loan of Rs. 500000 from FEDERAL BANK. Minimal documentation. Click http://nc7.in/VkxhQNXK Paisabazaar,Promotional,,
"Loan promotion which I haven’t applied 

Hi 974007xxxx  Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/iro5ni!928rk29 - Credit Mantri",Promotional,,
customer is getting promotional message,Promotional,,
IAPP-HI  EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE  CONFIRM FLOOR BY FLOOR REG  SIZE 147 SQYD,Promotional,,
??????????? USER ! ???? ??????? ???????????? ???? ??????????? ???? ????? ???????????. ??????? ????? ??????? ????? ??????! ???? ??????? https://i.airtel.in/FSPNPM,Promotional,,
IAPP-HI  YOUR ORDER HAS BEEN PLACED  SOUNDS GOOD  TRACK YOUR ORDER WITH THE MOMS CO   TRAVEL SKIN ESSENTIALS WORTH RS 1171 ONLY AT RS 49  PA,Promotional,,
"Dear Customer, Congrats! You are eligible for Personal Loan Pre Approved offer of Rs.469,000. Call on 18002106292 Or Misscall on 7065263131. T&C.Bajaj Finance Ltd",Promotional,,
"Congratulations! You have an exclusive, pre-approved loan of Rs.250000 from Tata Capital. Click here https://pbzar.in/hGkOzY Paisabazaar",Promotional,,
IAPP-3 4 BHK   STUDY   SERVANT CONFIRMED ALLOTMENT WITH PRIVATE DECK   JACUZZI OPP TRUMP TOWER IS COMPLETED BY  G AREA  7 CLUB HOUSE 9990016,Promotional,,
Hi 993598xxxx  Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/irre60!983m7p8 - Credit Mantri,Promotional,,
"Dear customer, your DTDC OTP is 656149. OTP is valid for 10 minutes. Happy Shipping.",Service,,
IAPP-3 4 BHK   STUDY   SERVANT CONFIRMED ALLOTMENT WITH PRIVATE DECK   JACUZZI OPP TRUMP TOWER IS COMPLETED BY  G AREA  7 CLUB HOUSE 9990016,Promotional,,
IAPP-3 4 BHK   STUDY   SERVANT CONFIRMED ALLOTMENT WITH PRIVATE DECK   JACUZZI OPP TRUMP TOWER IS COMPLETED BY  G AREA  7 CLUB HOUSE 9990016,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9953289790,Promotional,,
Promotion of sim msg,Promotional,,
EMAAR SCO PLOTS FOR SALE RERA APPROVED SEC 65GGN TWO SIDED OPEN PLOTS 100 COVERAGE IS COMPLETED BY SIZE 147 SQYD 9953289790 PSCL,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9953289790,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9953289790,Promotional,,
"EMAAR SCO PLOTS FOR SALE

RERA APPROVED, Sec 65GGN

Two Sided Open Plots & 100% Coverage
 
is completed by
 
Size 147 Sqyd


9582999599
- PSCL",Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9953289790,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9582999599,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9582999599,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9582999599,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9953289790,Promotional,,
"EMAAR SCO PLOTS FOR SALE
RERA APPROVED, Sec 65GGN
Two Sided Open Plots & 100% Coverage
 is completed by
Size 147 Sqyd
9953289790 
- PSCL",Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9953289790,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9582999599,Promotional,,
"?????? ????????????? ???????? ????????????, ????? ????????? ?????? ?????? ???? ?????? ??????????? ????????????????, ???????? DoT ????-???? ?????? 1800110420/1963 ?? ??????.",Promotional,,
"Dear Customer, Don't hold back on Festive Purchases! Get the funds you need with a Personal Loan. To avail, give a missed call on 9319439048 - IndusInd Bank",Promotional,,
IAPP-3 4 BHK   STUDY   SERVANT CONFIRMED ALLOTMENT WITH PRIVATE DECK   JACUZZI OPP TRUMP TOWER IS COMPLETED BY  G AREA  7 CLUB HOUSE 9990016,Promotional,,
"EMAAR SCO PLOTS FOR SALE RERA APPROVED, SEC 65GGN TWO SIDED OPEN PLOTS & 100% COVERAGE IS COMPLETED BY  SIZE 147 SQYD 9953289790  - PSCL",Promotional,,
balence beledity releted call,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9953289790,Promotional,,
"3/4 BHK + Study + Servant
Confirmed Allotment
With Private Deck & Jacuzzi
Opp Trump Tower
is completed by 
G Area 
7*Club House
9990016866
- PSCL",Promotional,,
dnd registered but  still getting promotional call,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9953289790,Promotional,,
એરટેલ હવે વધુ સારું થયું છે! Nandotra (Thakorvas) માં નવો ટાવર સ્થાપિત કરવામાં આવ્યો છે. હવે તમે તમારા એરટેલ પર ઝડપી ડેટા સ્પીડ અને બહેતર નેટવર્ક કવરેજ નો આનંદ માણી શકો છો. એરટેલનું નેટવર્ક પસંદ કરવા બદલ આભાર.,Service,,
THE UNSOLICITED COMMERCIAL COMMUNICATION,Promotional,,
IAPP-EMAAR SCO PLOTS FOR SALE  RERA APPROVED  SEC 65GGN  TWO SIDED OPEN PLOTS   100  COVERAGE   IS COMPLETED BY   SIZE 147 SQYD   9953289790,Promotional,,
EMAAR SCO PLOTS FOR SALE,Promotional,,
"3/4 BHK + Study + Servant
Confirmed Allotment
With Private Deck & Jacuzzi
Opp Trump Tower
is completed by 
G Area 
7*Club House
9990016866
- PSCL",Promotional,,
"EMAAR SCO PLOTS FOR SALE

RERA APPROVED, Sec 65GGN

Two Sided Open Plots & 100% Coverage
 
is completed by
 
Size 147 Sqyd


9953289790 
- PSCL",Promotional,,
